,train,val,test
0,BRACS_759,BRACS_1584,BRACS_1973
1,BRACS_1261,BRACS_1598,BRACS_3275
2,BRACS_1267,BRACS_1003675,BRACS_1585
3,BRACS_1269,BRACS_3292,BRACS_1614
4,BRACS_1296,BRACS_1255,BRACS_3312
5,BRACS_1378,BRACS_1240,BRACS_1003710
6,BRACS_1385,BRACS_1424,BRACS_1003700
7,BRACS_1386,BRACS_1612,BRACS_1485
8,BRACS_1401,BRACS_1480,BRACS_1003671
9,BRACS_1403,BRACS_1664,BRACS_1669
10,BRACS_1405,BRACS_1582,BRACS_1656
11,BRACS_1507,BRACS_1880,BRACS_1605
12,BRACS_1513,BRACS_1620,BRACS_1784
13,BRACS_1579,BRACS_1608,BRACS_1924
14,BRACS_1601,BRACS_2002,BRACS_1640
15,BRACS_1632,BRACS_3334,BRACS_1988
16,BRACS_1641,BRACS_3335,BRACS_1890
17,BRACS_1645,BRACS_1511,BRACS_1986
18,BRACS_1658,BRACS_1335,BRACS_1617
19,BRACS_1820,BRACS_2005,BRACS_1334
20,BRACS_1855,BRACS_3310,BRACS_3273
21,BRACS_1974,BRACS_1416,BRACS_1917
22,BRACS_1978,BRACS_1618,BRACS_1003685
23,BRACS_1979,BRACS_1295,BRACS_1836
24,BRACS_1981,BRACS_1409,BRACS_1958
25,BRACS_1998,BRACS_2007,BRACS_1858
26,BRACS_3277,BRACS_1777,BRACS_1937
27,BRACS_3282,BRACS_1319,BRACS_1814
28,BRACS_3322,BRACS_1871,BRACS_1886
29,BRACS_1003713,BRACS_1003691,BRACS_1933
30,BRACS_1003714,BRACS_1932,BRACS_1913
31,BRACS_1003715,BRACS_1825,BRACS_1876
32,BRACS_1003716,BRACS_1808,BRACS_1969
33,BRACS_264,BRACS_1794,BRACS_1616
34,BRACS_745,BRACS_1999,BRACS_1247
35,BRACS_758,BRACS_1921,BRACS_1367
36,BRACS_760,BRACS_1491,BRACS_1945
37,BRACS_761,BRACS_1970,BRACS_735
38,BRACS_1241,BRACS_1602,BRACS_1238
39,BRACS_1242,BRACS_1811,BRACS_1878
40,BRACS_1248,BRACS_1636,BRACS_3319
41,BRACS_1249,BRACS_1003678,BRACS_754
42,BRACS_1251,BRACS_1003673,BRACS_1407
43,BRACS_1253,BRACS_1411,BRACS_1812
44,BRACS_1259,BRACS_1638,BRACS_1580
45,BRACS_1273,BRACS_1635,BRACS_3316
46,BRACS_1274,BRACS_3301,BRACS_1650
47,BRACS_1275,BRACS_1827,BRACS_1235
48,BRACS_1276,BRACS_288,BRACS_1587
49,BRACS_1318,BRACS_1003708,BRACS_1654
50,BRACS_1320,BRACS_1578,BRACS_1003721
51,BRACS_1321,BRACS_1637,BRACS_734
52,BRACS_1322,BRACS_1908,BRACS_3305
53,BRACS_1324,,
54,BRACS_1325,,
55,BRACS_1327,,
56,BRACS_1329,,
57,BRACS_1330,,
58,BRACS_1336,,
59,BRACS_1338,,
60,BRACS_1370,,
61,BRACS_1408,,
62,BRACS_1412,,
63,BRACS_1423,,
64,BRACS_1483,,
65,BRACS_1493,,
66,BRACS_1508,,
67,BRACS_1583,,
68,BRACS_1603,,
69,BRACS_1631,,
70,BRACS_1633,,
71,BRACS_1634,,
72,BRACS_1655,,
73,BRACS_1659,,
74,BRACS_1660,,
75,BRACS_1661,,
76,BRACS_1665,,
77,BRACS_1666,,
78,BRACS_1668,,
79,BRACS_1772,,
80,BRACS_1779,,
81,BRACS_1796,,
82,BRACS_1832,,
83,BRACS_1833,,
84,BRACS_1839,,
85,BRACS_1841,,
86,BRACS_1842,,
87,BRACS_1843,,
88,BRACS_1845,,
89,BRACS_1846,,
90,BRACS_1847,,
91,BRACS_1850,,
92,BRACS_1851,,
93,BRACS_1852,,
94,BRACS_1866,,
95,BRACS_1869,,
96,BRACS_1870,,
97,BRACS_1879,,
98,BRACS_1893,,
99,BRACS_1900,,
100,BRACS_1901,,
101,BRACS_1902,,
102,BRACS_1904,,
103,BRACS_1905,,
104,BRACS_1906,,
105,BRACS_1940,,
106,BRACS_1942,,
107,BRACS_1948,,
108,BRACS_1960,,
109,BRACS_1961,,
110,BRACS_1962,,
111,BRACS_1964,,
112,BRACS_1965,,
113,BRACS_1966,,
114,BRACS_1967,,
115,BRACS_1972,,
116,BRACS_1980,,
117,BRACS_1989,,
118,BRACS_1994,,
119,BRACS_2000,,
120,BRACS_2004,,
121,BRACS_3268,,
122,BRACS_3269,,
123,BRACS_3270,,
124,BRACS_3271,,
125,BRACS_3272,,
126,BRACS_3274,,
127,BRACS_3276,,
128,BRACS_3279,,
129,BRACS_3281,,
130,BRACS_3283,,
131,BRACS_3295,,
132,BRACS_3296,,
133,BRACS_3298,,
134,BRACS_3309,,
135,BRACS_3311,,
136,BRACS_3324,,
137,BRACS_3336,,
138,BRACS_3337,,
139,BRACS_1003658,,
140,BRACS_1003659,,
141,BRACS_1003668,,
142,BRACS_1003669,,
143,BRACS_1003672,,
144,BRACS_1003686,,
145,BRACS_1003706,,
146,BRACS_1003724,,
147,BRACS_1003725,,
148,BRACS_1003730,,
149,BRACS_1003734,,
150,BRACS_265,,
151,BRACS_1244,,
152,BRACS_1270,,
153,BRACS_1326,,
154,BRACS_1337,,
155,BRACS_1495,,
156,BRACS_1498,,
157,BRACS_1581,,
158,BRACS_1591,,
159,BRACS_1594,,
160,BRACS_1595,,
161,BRACS_1596,,
162,BRACS_1604,,
163,BRACS_1606,,
164,BRACS_1609,,
165,BRACS_1619,,
166,BRACS_1621,,
167,BRACS_1642,,
168,BRACS_1667,,
169,BRACS_1780,,
170,BRACS_1782,,
171,BRACS_1783,,
172,BRACS_1785,,
173,BRACS_1786,,
174,BRACS_1787,,
175,BRACS_1789,,
176,BRACS_1792,,
177,BRACS_1793,,
178,BRACS_1821,,
179,BRACS_1824,,
180,BRACS_1834,,
181,BRACS_1837,,
182,BRACS_1848,,
183,BRACS_1853,,
184,BRACS_1873,,
185,BRACS_1881,,
186,BRACS_1896,,
187,BRACS_1914,,
188,BRACS_1918,,
189,BRACS_1946,,
190,BRACS_1949,,
191,BRACS_1952,,
192,BRACS_1957,,
193,BRACS_1963,,
194,BRACS_1993,,
195,BRACS_1995,,
196,BRACS_1996,,
197,BRACS_1997,,
198,BRACS_2001,,
199,BRACS_3278,,
200,BRACS_3284,,
201,BRACS_3313,,
202,BRACS_3317,,
203,BRACS_1003661,,
204,BRACS_1003707,,
205,BRACS_300,,
206,BRACS_743,,
207,BRACS_1239,,
208,BRACS_1250,,
209,BRACS_1257,,
210,BRACS_1506,,
211,BRACS_1510,,
212,BRACS_1610,,
213,BRACS_1773,,
214,BRACS_1774,,
215,BRACS_1775,,
216,BRACS_1778,,
217,BRACS_1788,,
218,BRACS_1799,,
219,BRACS_1813,,
220,BRACS_1815,,
221,BRACS_1838,,
222,BRACS_1857,,
223,BRACS_1865,,
224,BRACS_1916,,
225,BRACS_1926,,
226,BRACS_1936,,
227,BRACS_1941,,
228,BRACS_1943,,
229,BRACS_1944,,
230,BRACS_1954,,
231,BRACS_1955,,
232,BRACS_1968,,
233,BRACS_1971,,
234,BRACS_1975,,
235,BRACS_3266,,
236,BRACS_3285,,
237,BRACS_1003693,,
238,BRACS_1228,,
239,BRACS_1271,,
240,BRACS_1379,,
241,BRACS_1486,,
242,BRACS_1494,,
243,BRACS_1499,,
244,BRACS_1503,,
245,BRACS_1589,,
246,BRACS_1622,,
247,BRACS_1795,,
248,BRACS_1797,,
249,BRACS_1844,,
250,BRACS_1849,,
251,BRACS_1856,,
252,BRACS_1860,,
253,BRACS_1861,,
254,BRACS_1863,,
255,BRACS_1877,,
256,BRACS_1882,,
257,BRACS_1885,,
258,BRACS_1892,,
259,BRACS_1895,,
260,BRACS_1899,,
261,BRACS_1911,,
262,BRACS_1912,,
263,BRACS_1915,,
264,BRACS_1922,,
265,BRACS_1925,,
266,BRACS_1934,,
267,BRACS_1938,,
268,BRACS_1953,,
269,BRACS_1977,,
270,BRACS_1982,,
271,BRACS_1983,,
272,BRACS_1987,,
273,BRACS_3318,,
274,BRACS_1003694,,
275,BRACS_1003728,,
276,BRACS_736,,
277,BRACS_737,,
278,BRACS_755,,
279,BRACS_762,,
280,BRACS_1283,,
281,BRACS_1366,,
282,BRACS_1369,,
283,BRACS_1473,,
284,BRACS_1474,,
285,BRACS_1476,,
286,BRACS_1489,,
287,BRACS_1490,,
288,BRACS_1492,,
289,BRACS_1496,,
290,BRACS_1497,,
291,BRACS_1509,,
292,BRACS_1512,,
293,BRACS_1514,,
294,BRACS_1515,,
295,BRACS_1588,,
296,BRACS_1597,,
297,BRACS_1607,,
298,BRACS_1653,,
299,BRACS_1771,,
300,BRACS_1816,,
301,BRACS_1835,,
302,BRACS_1840,,
303,BRACS_1862,,
304,BRACS_1864,,
305,BRACS_1867,,
