,train,val,test
0,patient_000_node_0,patient_048_node_3,patient_002_node_4
1,patient_000_node_1,patient_016_node_2,patient_042_node_1
2,patient_000_node_2,patient_012_node_3,patient_082_node_2
3,patient_000_node_3,patient_088_node_2,patient_093_node_2
4,patient_001_node_0,patient_097_node_2,patient_008_node_2
5,patient_001_node_2,patient_085_node_1,patient_071_node_0
6,patient_001_node_4,patient_002_node_0,patient_076_node_0
7,patient_002_node_1,patient_086_node_3,patient_004_node_1
8,patient_002_node_2,patient_010_node_3,patient_055_node_3
9,patient_002_node_3,patient_022_node_2,patient_025_node_3
10,patient_003_node_0,patient_042_node_4,patient_046_node_2
11,patient_003_node_1,patient_000_node_4,patient_055_node_0
12,patient_003_node_2,patient_079_node_3,patient_084_node_0
13,patient_003_node_3,patient_001_node_1,patient_034_node_2
14,patient_004_node_0,patient_085_node_2,patient_012_node_1
15,patient_004_node_2,patient_036_node_2,patient_050_node_2
16,patient_004_node_3,patient_001_node_3,patient_033_node_4
17,patient_005_node_0,patient_072_node_3,patient_050_node_3
18,patient_005_node_1,patient_056_node_0,patient_083_node_0
19,patient_005_node_2,patient_047_node_1,patient_053_node_0
20,patient_006_node_0,patient_007_node_1,patient_090_node_3
21,patient_006_node_1,patient_070_node_2,patient_041_node_4
22,patient_006_node_3,patient_003_node_4,patient_056_node_3
23,patient_007_node_0,patient_043_node_4,patient_067_node_1
24,patient_007_node_2,patient_031_node_4,patient_050_node_0
25,patient_007_node_3,patient_055_node_1,patient_083_node_2
26,patient_008_node_1,patient_066_node_4,patient_034_node_1
27,patient_008_node_3,patient_088_node_3,patient_035_node_4
28,patient_008_node_4,patient_054_node_3,patient_093_node_1
29,patient_009_node_2,patient_075_node_3,patient_053_node_4
30,patient_009_node_3,patient_038_node_1,patient_064_node_2
31,patient_009_node_4,patient_095_node_1,patient_095_node_2
32,patient_010_node_1,patient_076_node_1,patient_065_node_0
33,patient_010_node_2,patient_092_node_3,patient_045_node_3
34,patient_011_node_1,patient_051_node_1,patient_094_node_4
35,patient_011_node_2,patient_073_node_1,patient_051_node_2
36,patient_011_node_3,patient_097_node_0,patient_077_node_2
37,patient_011_node_4,patient_045_node_0,patient_019_node_1
38,patient_012_node_2,patient_051_node_0,patient_099_node_4
39,patient_012_node_4,patient_062_node_2,patient_070_node_3
40,patient_013_node_0,patient_091_node_2,patient_077_node_4
41,patient_013_node_1,patient_046_node_3,patient_028_node_1
42,patient_014_node_0,patient_022_node_1,patient_080_node_4
43,patient_014_node_1,patient_081_node_2,patient_049_node_1
44,patient_015_node_0,patient_039_node_1,patient_009_node_1
45,patient_015_node_3,patient_048_node_0,patient_028_node_0
46,patient_016_node_3,patient_008_node_0,patient_074_node_4
47,patient_016_node_4,patient_081_node_4,patient_009_node_0
48,patient_017_node_0,patient_024_node_4,patient_005_node_4
49,patient_018_node_0,patient_024_node_1,patient_015_node_4
50,patient_019_node_4,patient_076_node_4,patient_068_node_4
51,patient_020_node_0,,
52,patient_020_node_3,,
53,patient_021_node_2,,
54,patient_022_node_3,,
55,patient_023_node_0,,
56,patient_023_node_1,,
57,patient_023_node_2,,
58,patient_023_node_3,,
59,patient_023_node_4,,
60,patient_024_node_0,,
61,patient_024_node_3,,
62,patient_025_node_0,,
63,patient_025_node_1,,
64,patient_025_node_2,,
65,patient_025_node_4,,
66,patient_027_node_1,,
67,patient_027_node_3,,
68,patient_028_node_4,,
69,patient_029_node_4,,
70,patient_030_node_0,,
71,patient_030_node_1,,
72,patient_030_node_2,,
73,patient_030_node_3,,
74,patient_031_node_0,,
75,patient_031_node_1,,
76,patient_031_node_2,,
77,patient_031_node_3,,
78,patient_032_node_0,,
79,patient_032_node_2,,
80,patient_032_node_3,,
81,patient_032_node_4,,
82,patient_033_node_0,,
83,patient_034_node_0,,
84,patient_034_node_4,,
85,patient_035_node_0,,
86,patient_035_node_1,,
87,patient_035_node_2,,
88,patient_035_node_3,,
89,patient_036_node_0,,
90,patient_036_node_1,,
91,patient_036_node_4,,
92,patient_037_node_0,,
93,patient_037_node_2,,
94,patient_037_node_3,,
95,patient_037_node_4,,
