,train,val,test
patient_000_node_0,True,False,False
patient_000_node_1,True,False,False
patient_000_node_2,True,False,False
patient_000_node_3,True,False,False
patient_001_node_0,True,False,False
patient_001_node_2,True,False,False
patient_001_node_4,True,False,False
patient_002_node_0,True,False,False
patient_002_node_1,True,False,False
patient_002_node_2,True,False,False
patient_002_node_4,True,False,False
patient_003_node_0,True,False,False
patient_004_node_1,True,False,False
patient_004_node_2,True,False,False
patient_004_node_3,True,False,False
patient_005_node_0,True,False,False
patient_005_node_1,True,False,False
patient_005_node_2,True,False,False
patient_006_node_3,True,False,False
patient_007_node_0,True,False,False
patient_007_node_1,True,False,False
patient_007_node_2,True,False,False
patient_007_node_3,True,False,False
patient_008_node_1,True,False,False
patient_008_node_2,True,False,False
patient_008_node_4,True,False,False
patient_009_node_2,True,False,False
patient_009_node_3,True,False,False
patient_009_node_4,True,False,False
patient_010_node_1,True,False,False
patient_010_node_2,True,False,False
patient_010_node_3,True,False,False
patient_011_node_1,True,False,False
patient_011_node_2,True,False,False
patient_012_node_2,True,False,False
patient_012_node_4,True,False,False
patient_013_node_0,True,False,False
patient_014_node_0,True,False,False
patient_014_node_1,True,False,False
patient_015_node_0,True,False,False
patient_016_node_2,True,False,False
patient_016_node_3,True,False,False
patient_016_node_4,True,False,False
patient_017_node_0,True,False,False
patient_018_node_0,True,False,False
patient_019_node_4,True,False,False
patient_020_node_0,True,False,False
patient_020_node_3,True,False,False
patient_021_node_2,True,False,False
patient_022_node_2,True,False,False
patient_022_node_3,True,False,False
patient_023_node_0,True,False,False
patient_023_node_4,True,False,False
patient_024_node_0,True,False,False
patient_024_node_3,True,False,False
patient_025_node_0,True,False,False
patient_025_node_1,True,False,False
patient_025_node_2,True,False,False
patient_025_node_3,True,False,False
patient_025_node_4,True,False,False
patient_027_node_1,True,False,False
patient_027_node_3,True,False,False
patient_030_node_0,True,False,False
patient_030_node_1,True,False,False
patient_030_node_2,True,False,False
patient_030_node_3,True,False,False
patient_031_node_0,True,False,False
patient_031_node_1,True,False,False
patient_031_node_3,True,False,False
patient_031_node_4,True,False,False
patient_032_node_0,True,False,False
patient_032_node_2,True,False,False
patient_032_node_3,True,False,False
patient_033_node_0,True,False,False
patient_033_node_4,True,False,False
patient_034_node_0,True,False,False
patient_034_node_1,True,False,False
patient_034_node_2,True,False,False
patient_034_node_4,True,False,False
patient_035_node_0,True,False,False
patient_035_node_1,True,False,False
patient_035_node_2,True,False,False
patient_035_node_4,True,False,False
patient_036_node_0,True,False,False
patient_036_node_1,True,False,False
patient_036_node_2,True,False,False
patient_036_node_4,True,False,False
patient_037_node_2,True,False,False
patient_037_node_3,True,False,False
patient_037_node_4,True,False,False
patient_038_node_1,True,False,False
patient_038_node_3,True,False,False
patient_039_node_2,True,False,False
patient_039_node_3,True,False,False
patient_040_node_0,True,False,False
patient_040_node_1,True,False,False
patient_040_node_4,True,False,False
patient_041_node_1,True,False,False
patient_041_node_3,True,False,False
patient_041_node_4,True,False,False
patient_042_node_0,True,False,False
patient_042_node_1,True,False,False
patient_042_node_4,True,False,False
patient_043_node_0,True,False,False
patient_043_node_1,True,False,False
patient_043_node_2,True,False,False
patient_043_node_4,True,False,False
patient_044_node_0,True,False,False
patient_044_node_1,True,False,False
patient_045_node_2,True,False,False
patient_046_node_0,True,False,False
patient_046_node_1,True,False,False
patient_046_node_2,True,False,False
patient_047_node_0,True,False,False
patient_047_node_1,True,False,False
patient_047_node_4,True,False,False
patient_048_node_2,True,False,False
patient_048_node_3,True,False,False
patient_048_node_4,True,False,False
patient_049_node_3,True,False,False
patient_049_node_4,True,False,False
patient_050_node_0,True,False,False
patient_050_node_1,True,False,False
patient_050_node_2,True,False,False
patient_050_node_3,True,False,False
patient_051_node_3,True,False,False
patient_052_node_4,True,False,False
patient_053_node_0,True,False,False
patient_053_node_1,True,False,False
patient_053_node_2,True,False,False
patient_053_node_3,True,False,False
patient_053_node_4,True,False,False
patient_054_node_0,True,False,False
patient_054_node_1,True,False,False
patient_054_node_3,True,False,False
patient_054_node_4,True,False,False
patient_055_node_0,True,False,False
patient_055_node_2,True,False,False
patient_055_node_3,True,False,False
patient_055_node_4,True,False,False
patient_056_node_0,True,False,False
patient_056_node_1,True,False,False
patient_056_node_2,True,False,False
patient_056_node_4,True,False,False
patient_057_node_0,True,False,False
patient_057_node_1,True,False,False
patient_057_node_3,True,False,False
patient_057_node_4,True,False,False
patient_058_node_0,True,False,False
patient_058_node_1,True,False,False
patient_058_node_2,True,False,False
patient_058_node_3,True,False,False
patient_059_node_0,True,False,False
patient_059_node_1,True,False,False
patient_059_node_2,True,False,False
patient_059_node_3,True,False,False
patient_059_node_4,True,False,False
patient_060_node_1,True,False,False
patient_060_node_2,True,False,False
patient_061_node_0,True,False,False
patient_061_node_2,True,False,False
patient_061_node_3,True,False,False
patient_062_node_4,True,False,False
patient_064_node_2,True,False,False
patient_064_node_4,True,False,False
patient_065_node_2,True,False,False
patient_065_node_3,True,False,False
patient_066_node_0,True,False,False
patient_066_node_1,True,False,False
patient_066_node_4,True,False,False
patient_067_node_1,True,False,False
patient_067_node_2,True,False,False
patient_068_node_0,True,False,False
patient_068_node_2,True,False,False
patient_069_node_4,True,False,False
patient_070_node_0,True,False,False
patient_070_node_1,True,False,False
patient_070_node_2,True,False,False
patient_070_node_4,True,False,False
patient_071_node_0,True,False,False
