,train,val,test
0,TCGA-55-8507-01Z-00-DX1,TCGA-55-7914-01Z-00-DX1,TCGA-55-6978-01Z-00-DX1
1,TCGA-75-7030-01Z-00-DX1,TCGA-44-5643-01Z-00-DX1,TCGA-78-7149-01Z-00-DX1
2,TCGA-05-4432-01Z-00-DX1,TCGA-73-A9RS-01Z-00-DX1,TCGA-95-7944-01Z-00-DX1
3,TCGA-MN-A4N4-01Z-00-DX2,TCGA-80-5607-01Z-00-DX1,TCGA-55-7281-01Z-00-DX1
4,TCGA-MN-A4N4-01Z-00-DX1,TCGA-55-7576-01Z-00-DX1,TCGA-49-4510-01Z-00-DX1
5,TCGA-86-A4P8-01Z-00-DX1,TCGA-38-4626-01Z-00-DX1,TCGA-55-6975-01Z-00-DX1
6,TCGA-78-7220-01Z-00-DX1,TCGA-50-7109-01Z-00-DX1,TCGA-50-5946-01Z-00-DX1
7,TCGA-86-6562-01Z-00-DX1,TCGA-49-6742-01Z-00-DX3,TCGA-78-7542-01Z-00-DX1
8,TCGA-97-7552-01Z-00-DX1,TCGA-73-4677-01Z-00-DX1,TCGA-73-4662-01Z-00-DX1
9,TCGA-49-6745-01Z-00-DX1,TCGA-86-8073-01Z-00-DX1,TCGA-69-7980-01Z-00-DX1
10,TCGA-49-6745-01Z-00-DX6,TCGA-55-8512-01Z-00-DX1,TCGA-MP-A4TJ-01Z-00-DX1
11,TCGA-49-6745-01Z-00-DX4,TCGA-73-4675-01Z-00-DX1,TCGA-75-6203-01Z-00-DX1
12,TCGA-49-6745-01Z-00-DX3,TCGA-55-A493-01Z-00-DX1,TCGA-44-6777-01Z-00-DX1
13,TCGA-49-6745-01Z-00-DX5,TCGA-38-4630-01Z-00-DX1,TCGA-75-6205-01Z-00-DX1
14,TCGA-49-6745-01Z-00-DX2,TCGA-49-4505-01Z-00-DX4,TCGA-49-6742-01Z-00-DX2
15,TCGA-05-4427-01Z-00-DX1,TCGA-44-2666-01Z-00-DX1,TCGA-50-5942-01Z-00-DX1
16,TCGA-J2-A4AE-01Z-00-DX1,TCGA-MN-A4N1-01Z-00-DX1,TCGA-78-7166-01Z-00-DX1
17,TCGA-55-1596-01Z-00-DX1,TCGA-86-7701-01Z-00-DX1,TCGA-44-3919-01Z-00-DX1
18,TCGA-75-5125-01Z-00-DX1,TCGA-49-AARN-01Z-00-DX1,TCGA-55-1595-01Z-00-DX1
19,TCGA-44-4112-01Z-00-DX1,TCGA-67-4679-01Z-00-DX1,TCGA-44-6144-01Z-00-DX1
20,TCGA-55-7284-01Z-00-DX1,TCGA-S2-AA1A-01Z-00-DX1,TCGA-55-8615-01Z-00-DX1
21,TCGA-55-8302-01Z-00-DX1,TCGA-35-4123-01Z-00-DX1,TCGA-55-8090-01Z-00-DX1
22,TCGA-49-4507-01Z-00-DX2,TCGA-64-1676-01Z-00-DX1,TCGA-49-4512-01Z-00-DX1
23,TCGA-49-4507-01Z-00-DX1,TCGA-93-8067-01Z-00-DX1,TCGA-86-6851-01Z-00-DX1
24,TCGA-78-8655-01Z-00-DX1,TCGA-44-A47F-01Z-00-DX1,TCGA-78-7159-01Z-00-DX1
25,TCGA-73-4668-01Z-00-DX1,TCGA-49-AARQ-01Z-00-DX1,TCGA-55-7913-01Z-00-DX1
26,TCGA-49-6743-01Z-00-DX2,TCGA-49-4488-01Z-00-DX4,TCGA-86-A4D0-01Z-00-DX1
27,TCGA-49-6743-01Z-00-DX1,TCGA-55-8208-01Z-00-DX1,TCGA-05-4424-01Z-00-DX1
28,TCGA-49-6743-01Z-00-DX4,TCGA-55-8097-01Z-00-DX1,TCGA-86-A4JF-01Z-00-DX1
29,TCGA-49-6743-01Z-00-DX3,TCGA-49-6745-01Z-00-DX7,TCGA-49-AARR-01Z-00-DX1
30,TCGA-97-7554-01Z-00-DX1,TCGA-05-4250-01Z-00-DX1,TCGA-MP-A4T8-01Z-00-DX1
31,TCGA-67-6216-01Z-00-DX1,TCGA-50-5055-01Z-00-DX1,TCGA-4B-A93V-01Z-00-DX1
32,TCGA-55-6712-01Z-00-DX1,TCGA-44-6148-01Z-00-DX1,TCGA-44-3396-01Z-00-DX1
33,TCGA-69-8453-01Z-00-DX1,TCGA-05-4420-01Z-00-DX1,TCGA-99-AA5R-01Z-00-DX1
34,TCGA-55-7283-01Z-00-DX1,TCGA-44-2662-01Z-00-DX1,TCGA-50-5044-01Z-00-DX1
35,TCGA-62-A471-01Z-00-DX1,TCGA-05-4405-01Z-00-DX1,TCGA-78-7537-01Z-00-DX1
36,TCGA-55-8299-01Z-00-DX1,TCGA-44-6775-01Z-00-DX1,TCGA-MP-A4TK-01Z-00-DX1
37,TCGA-55-7907-01Z-00-DX1,TCGA-97-A4M2-01Z-00-DX1,TCGA-55-7727-01Z-00-DX1
38,TCGA-05-4396-01Z-00-DX1,TCGA-49-6744-01Z-00-DX2,TCGA-97-7553-01Z-00-DX1
39,TCGA-44-3398-01Z-00-DX1,TCGA-05-4422-01Z-00-DX1,TCGA-64-5775-01Z-00-DX1
40,TCGA-64-1679-01Z-00-DX1,TCGA-05-4426-01Z-00-DX1,TCGA-73-4659-01Z-00-DX1
41,TCGA-L9-A443-01Z-00-DX1,TCGA-73-4676-01Z-00-DX1,TCGA-86-8585-01Z-00-DX1
42,TCGA-97-7547-01Z-00-DX1,TCGA-78-7163-01Z-00-DX1,TCGA-44-A479-01Z-00-DX1
43,TCGA-86-8279-01Z-00-DX1,TCGA-78-7153-01Z-00-DX1,TCGA-55-6543-01Z-00-DX1
44,TCGA-67-3772-01Z-00-DX1,TCGA-49-4512-01Z-00-DX8,TCGA-64-5779-01Z-00-DX1
45,TCGA-86-7713-01Z-00-DX1,TCGA-49-4494-01Z-00-DX5,TCGA-95-7947-01Z-00-DX1
46,TCGA-64-5774-01Z-00-DX1,TCGA-44-5645-01Z-00-DX1,TCGA-55-6981-01Z-00-DX1
47,TCGA-97-A4M3-01Z-00-DX1,TCGA-50-6591-01Z-00-DX1,TCGA-75-7025-01Z-00-DX1
48,TCGA-44-7662-01Z-00-DX1,TCGA-49-4494-01Z-00-DX2,TCGA-55-8087-01Z-00-DX1
49,TCGA-MP-A4TI-01Z-00-DX1,TCGA-49-4501-01Z-00-DX2,TCGA-L9-A50W-01Z-00-DX1
50,TCGA-05-4244-01Z-00-DX1,TCGA-49-4490-01Z-00-DX4,TCGA-86-8074-01Z-00-DX1
51,TCGA-67-6215-01Z-00-DX1,TCGA-97-A4M6-01Z-00-DX1,TCGA-55-8096-01Z-00-DX1
52,TCGA-95-7948-01Z-00-DX1,,
53,TCGA-NJ-A7XG-01Z-00-DX1,,
54,TCGA-55-8620-01Z-00-DX1,,
55,TCGA-55-8094-01Z-00-DX1,,
56,TCGA-55-6642-01Z-00-DX1,,
57,TCGA-55-6983-01Z-00-DX1,,
58,TCGA-55-8089-01Z-00-DX1,,
59,TCGA-50-6597-01Z-00-DX1,,
60,TCGA-78-7167-01Z-00-DX1,,
61,TCGA-55-8091-01Z-00-DX1,,
62,TCGA-38-4625-01Z-00-DX1,,
63,TCGA-44-2659-01Z-00-DX1,,
64,TCGA-50-5068-01Z-00-DX2,,
65,TCGA-50-5068-01Z-00-DX1,,
66,TCGA-49-4514-01Z-00-DX2,,
67,TCGA-49-4514-01Z-00-DX3,,
68,TCGA-49-4514-01Z-00-DX4,,
69,TCGA-49-4514-01Z-00-DX1,,
70,TCGA-05-4398-01Z-00-DX1,,
71,TCGA-78-8640-01Z-00-DX1,,
72,TCGA-44-3917-01Z-00-DX1,,
73,TCGA-97-8175-01Z-00-DX1,,
74,TCGA-55-8301-01Z-00-DX1,,
75,TCGA-55-A4DF-01Z-00-DX1,,
76,TCGA-05-4249-01Z-00-DX1,,
77,TCGA-99-8028-01Z-00-DX1,,
78,TCGA-97-7937-01Z-00-DX1,,
79,TCGA-78-7633-01Z-00-DX1,,
80,TCGA-44-6146-01Z-00-DX1,,
81,TCGA-44-6145-01Z-00-DX1,,
82,TCGA-75-5122-01Z-00-DX1,,
83,TCGA-75-5126-01Z-00-DX1,,
84,TCGA-78-7539-01Z-00-DX1,,
85,TCGA-50-5055-01Z-00-DX2,,
86,TCGA-55-1594-01Z-00-DX1,,
87,TCGA-44-A4SS-01Z-00-DX1,,
88,TCGA-86-8674-01Z-00-DX1,,
89,TCGA-55-7910-01Z-00-DX1,,
90,TCGA-38-4631-01Z-00-DX1,,
91,TCGA-05-4395-01Z-00-DX1,,
92,TCGA-49-4488-01Z-00-DX3,,
93,TCGA-49-4488-01Z-00-DX6,,
94,TCGA-49-4488-01Z-00-DX7,,
95,TCGA-49-4488-01Z-00-DX8,,
96,TCGA-49-4488-01Z-00-DX9,,
97,TCGA-49-4488-01Z-00-DX1,,
98,TCGA-49-4488-01Z-00-DX2,,
99,TCGA-49-4488-01Z-00-DX5,,
100,TCGA-05-4245-01Z-00-DX1,,
101,TCGA-91-A4BC-01Z-00-DX1,,
102,TCGA-55-8207-01Z-00-DX1,,
103,TCGA-93-A4JN-01Z-00-DX1,,
104,TCGA-99-8032-01Z-00-DX1,,
105,TCGA-44-7671-01Z-00-DX1,,
106,TCGA-05-4417-01Z-00-DX1,,
107,TCGA-55-5899-01Z-00-DX1,,
108,TCGA-55-8513-01Z-00-DX1,,
109,TCGA-49-AAR2-01Z-00-DX1,,
110,TCGA-49-4510-01Z-00-DX2,,
111,TCGA-69-8255-01Z-00-DX1,,
112,TCGA-86-7953-01Z-00-DX1,,
113,TCGA-49-AAR9-01Z-00-DX1,,
114,TCGA-44-2664-01Z-00-DX1,,
115,TCGA-78-7148-01Z-00-DX1,,
116,TCGA-55-8085-01Z-00-DX1,,
117,TCGA-95-A4VN-01Z-00-DX1,,
118,TCGA-50-6593-01Z-00-DX1,,
119,TCGA-L4-A4E6-01Z-00-DX1,,
120,TCGA-86-8278-01Z-00-DX1,,
121,TCGA-38-4632-01Z-00-DX1,,
122,TCGA-55-6970-01Z-00-DX1,,
123,TCGA-MP-A4T2-01Z-00-DX1,,
124,TCGA-95-8494-01Z-00-DX1,,
125,TCGA-95-7562-01Z-00-DX1,,
126,TCGA-55-7995-01Z-00-DX1,,
127,TCGA-73-4666-01Z-00-DX1,,
128,TCGA-86-8358-01Z-00-DX1,,
129,TCGA-78-7540-01Z-00-DX1,,
130,TCGA-78-7160-01Z-00-DX1,,
131,TCGA-05-4397-01Z-00-DX1,,
132,TCGA-93-7348-01Z-00-DX1,,
133,TCGA-44-3918-01Z-00-DX1,,
134,TCGA-55-6986-01Z-00-DX1,,
135,TCGA-44-2665-01Z-00-DX1,,
136,TCGA-93-7347-01Z-00-DX1,,
137,TCGA-55-6972-01Z-00-DX1,,
138,TCGA-55-A48Y-01Z-00-DX1,,
139,TCGA-75-6211-01Z-00-DX1,,
140,TCGA-L9-A444-01Z-00-DX1,,
141,TCGA-55-8614-01Z-00-DX1,,
142,TCGA-86-8669-01Z-00-DX1,,
143,TCGA-38-7271-01Z-00-DX1,,
144,TCGA-67-3773-01Z-00-DX1,,
145,TCGA-55-6979-01Z-00-DX1,,
146,TCGA-53-A4EZ-01Z-00-DX1,,
147,TCGA-49-AAR4-01Z-00-DX1,,
148,TCGA-69-7764-01Z-00-DX1,,
149,TCGA-55-7726-01Z-00-DX1,,
150,TCGA-99-7458-01Z-00-DX1,,
151,TCGA-38-A44F-01Z-00-DX1,,
152,TCGA-55-A494-01Z-00-DX1,,
153,TCGA-50-5045-01Z-00-DX1,,
154,TCGA-50-5045-01Z-00-DX2,,
155,TCGA-55-7911-01Z-00-DX1,,
156,TCGA-49-6742-01Z-00-DX4,,
157,TCGA-49-6742-01Z-00-DX1,,
158,TCGA-49-6742-01Z-00-DX5,,
159,TCGA-86-8281-01Z-00-DX1,,
160,TCGA-44-2668-01Z-00-DX1,,
161,TCGA-78-7152-01Z-00-DX1,,
162,TCGA-86-8673-01Z-00-DX1,,
163,TCGA-67-3771-01Z-00-DX1,,
164,TCGA-L4-A4E5-01Z-00-DX1,,
165,TCGA-55-8092-01Z-00-DX1,,
166,TCGA-97-8172-01Z-00-DX1,,
167,TCGA-99-8025-01Z-00-DX1,,
168,TCGA-78-7154-01Z-00-DX1,,
169,TCGA-53-7624-01Z-00-DX1,,
170,TCGA-05-4418-01Z-00-DX1,,
171,TCGA-62-A46S-01Z-00-DX1,,
172,TCGA-73-7498-01Z-00-DX1,,
173,TCGA-44-2657-01Z-00-DX1,,
174,TCGA-75-5147-01Z-00-DX1,,
175,TCGA-95-7043-01Z-00-DX1,,
176,TCGA-05-4433-01Z-00-DX1,,
177,TCGA-69-A59K-01Z-00-DX1,,
178,TCGA-55-8621-01Z-00-DX1,,
179,TCGA-80-5608-01Z-00-DX1,,
180,TCGA-44-7660-01Z-00-DX1,,
181,TCGA-44-A47A-01Z-00-DX1,,
182,TCGA-55-7728-01Z-00-DX1,,
183,TCGA-75-7027-01Z-00-DX1,,
184,TCGA-69-8254-01Z-00-DX1,,
185,TCGA-NJ-A4YP-01Z-00-DX1,,
186,TCGA-64-1677-01Z-00-DX1,,
187,TCGA-53-7626-01Z-00-DX1,,
188,TCGA-49-4505-01Z-00-DX2,,
189,TCGA-49-4505-01Z-00-DX3,,
190,TCGA-49-4505-01Z-00-DX1,,
191,TCGA-78-7535-01Z-00-DX1,,
192,TCGA-97-8179-01Z-00-DX1,,
193,TCGA-44-7659-01Z-00-DX1,,
194,TCGA-73-7499-01Z-00-DX1,,
195,TCGA-L9-A8F4-01Z-00-DX1,,
196,TCGA-78-7156-01Z-00-DX1,,
197,TCGA-44-2656-01Z-00-DX1,,
198,TCGA-55-6987-01Z-00-DX1,,
199,TCGA-MP-A4T7-01Z-00-DX1,,
200,TCGA-NJ-A4YF-01Z-00-DX1,,
201,TCGA-99-8033-01Z-00-DX1,,
202,TCGA-05-4434-01Z-00-DX1,,
203,TCGA-44-6778-01Z-00-DX1,,
204,TCGA-78-7150-01Z-00-DX1,,
205,TCGA-49-4487-01Z-00-DX1,,
206,TCGA-J2-8194-01Z-00-DX1,,
207,TCGA-86-A4P7-01Z-00-DX1,,
208,TCGA-55-7815-01Z-00-DX1,,
209,TCGA-50-6590-01Z-00-DX1,,
210,TCGA-MP-A4TD-01Z-00-DX1,,
211,TCGA-NJ-A4YI-01Z-00-DX1,,
212,TCGA-64-1680-01Z-00-DX1,,
213,TCGA-86-8671-01Z-00-DX1,,
214,TCGA-44-6779-01Z-00-DX1,,
215,TCGA-49-6767-01Z-00-DX1,,
216,TCGA-80-5611-01Z-00-DX1,,
217,TCGA-05-4415-01Z-00-DX1,,
218,TCGA-75-5146-01Z-00-DX1,,
219,TCGA-MN-A4N5-01Z-00-DX1,,
220,TCGA-69-7974-01Z-00-DX1,,
221,TCGA-64-5778-01Z-00-DX1,,
222,TCGA-49-4512-01Z-00-DX2,,
223,TCGA-49-4512-01Z-00-DX6,,
224,TCGA-49-4512-01Z-00-DX5,,
225,TCGA-49-4512-01Z-00-DX4,,
226,TCGA-49-4512-01Z-00-DX3,,
227,TCGA-75-6206-01Z-00-DX1,,
228,TCGA-50-6594-01Z-00-DX1,,
229,TCGA-49-4506-01Z-00-DX3,,
230,TCGA-49-4506-01Z-00-DX1,,
231,TCGA-49-4506-01Z-00-DX4,,
232,TCGA-49-4506-01Z-00-DX2,,
233,TCGA-MP-A4TC-01Z-00-DX1,,
234,TCGA-NJ-A4YQ-01Z-00-DX1,,
235,TCGA-67-3774-01Z-00-DX1,,
236,TCGA-69-7979-01Z-00-DX1,,
237,TCGA-50-5931-01Z-00-DX1,,
238,TCGA-86-8054-01Z-00-DX1,,
239,TCGA-44-7672-01Z-00-DX1,,
240,TCGA-86-7954-01Z-00-DX1,,
241,TCGA-55-8511-01Z-00-DX1,,
242,TCGA-78-8660-01Z-00-DX1,,
243,TCGA-55-7725-01Z-00-DX1,,
244,TCGA-49-6744-01Z-00-DX4,,
245,TCGA-49-6744-01Z-00-DX3,,
246,TCGA-49-6744-01Z-00-DX1,,
247,TCGA-44-6774-01Z-00-DX1,,
248,TCGA-50-8459-01Z-00-DX1,,
249,TCGA-55-7574-01Z-00-DX1,,
250,TCGA-86-7955-01Z-00-DX1,,
251,TCGA-55-8204-01Z-00-DX1,,
252,TCGA-64-5781-01Z-00-DX1,,
253,TCGA-55-A492-01Z-00-DX1,,
254,TCGA-55-7573-01Z-00-DX1,,
255,TCGA-64-5815-01Z-00-DX1,,
256,TCGA-78-7161-01Z-00-DX1,,
257,TCGA-MP-A4SV-01Z-00-DX1,,
258,TCGA-78-7145-01Z-00-DX1,,
259,TCGA-55-A4DG-01Z-00-DX1,,
260,TCGA-86-A456-01Z-00-DX1,,
261,TCGA-97-7546-01Z-00-DX1,,
262,TCGA-83-5908-01Z-00-DX1,,
263,TCGA-55-A48X-01Z-00-DX1,,
264,TCGA-69-7978-01Z-00-DX1,,
265,TCGA-55-8616-01Z-00-DX1,,
266,TCGA-35-4122-01Z-00-DX1,,
267,TCGA-55-8505-01Z-00-DX1,,
268,TCGA-73-4670-01Z-00-DX1,,
269,TCGA-86-7711-01Z-00-DX1,,
270,TCGA-MP-A5C7-01Z-00-DX1,,
271,TCGA-44-6776-01Z-00-DX1,,
272,TCGA-NJ-A4YG-01Z-00-DX1,,
273,TCGA-44-2655-01Z-00-DX1,,
274,TCGA-86-8076-01Z-00-DX1,,
275,TCGA-95-A4VP-01Z-00-DX1,,
276,TCGA-MP-A4T4-01Z-00-DX1,,
277,TCGA-53-7813-01Z-00-DX1,,
278,TCGA-49-6761-01Z-00-DX1,,
279,TCGA-55-6982-01Z-00-DX1,,
280,TCGA-MP-A4SY-01Z-00-DX1,,
281,TCGA-MP-A4TE-01Z-00-DX1,,
282,TCGA-93-A4JO-01Z-00-DX1,,
283,TCGA-49-AARE-01Z-00-DX1,,
284,TCGA-73-4658-01Z-00-DX1,,
285,TCGA-NJ-A55R-01Z-00-DX1,,
286,TCGA-44-5644-01Z-00-DX1,,
287,TCGA-78-7146-01Z-00-DX1,,
288,TCGA-J2-A4AD-01Z-00-DX1,,
289,TCGA-97-A4M0-01Z-00-DX1,,
290,TCGA-50-5939-01Z-00-DX1,,
291,TCGA-75-6214-01Z-00-DX1,,
292,TCGA-69-7763-01Z-00-DX1,,
293,TCGA-44-7669-01Z-00-DX1,,
294,TCGA-69-8253-01Z-00-DX1,,
295,TCGA-91-A4BD-01Z-00-DX1,,
296,TCGA-55-7816-01Z-00-DX1,,
297,TCGA-55-7903-01Z-00-DX1,,
298,TCGA-86-8359-01Z-00-DX1,,
299,TCGA-55-A491-01Z-00-DX1,,
300,TCGA-MN-A4N1-01Z-00-DX2,,
301,TCGA-55-8508-01Z-00-DX1,,
302,TCGA-62-A46R-01Z-00-DX1,,
303,TCGA-L9-A7SV-01Z-00-DX1,,
304,TCGA-MP-A4TH-01Z-00-DX1,,
305,TCGA-55-6984-01Z-00-DX1,,
306,TCGA-55-1592-01Z-00-DX1,,
307,TCGA-62-A470-01Z-00-DX1,,
308,TCGA-78-8648-01Z-00-DX1,,
309,TCGA-55-8514-01Z-00-DX1,,
310,TCGA-55-7227-01Z-00-DX1,,
311,TCGA-L9-A5IP-01Z-00-DX1,,
312,TCGA-55-6969-01Z-00-DX1,,
313,TCGA-55-6971-01Z-00-DX1,,
314,TCGA-69-7761-01Z-00-DX1,,
315,TCGA-J2-A4AG-01Z-00-DX1,,
316,TCGA-44-7667-01Z-00-DX1,,
317,TCGA-55-8510-01Z-00-DX1,,
318,TCGA-95-A4VK-01Z-00-DX1,,
319,TCGA-97-7941-01Z-00-DX1,,
320,TCGA-35-3615-01Z-00-DX1,,
321,TCGA-69-7973-01Z-00-DX1,,
322,TCGA-44-8119-01Z-00-DX1,,
323,TCGA-50-8457-01Z-00-DX1,,
324,TCGA-49-AAR0-01Z-00-DX1,,
325,TCGA-62-A46O-01Z-00-DX1,,
326,TCGA-78-8662-01Z-00-DX1,,
327,TCGA-86-8672-01Z-00-DX1,,
328,TCGA-97-A4M5-01Z-00-DX1,,
329,TCGA-NJ-A55O-01Z-00-DX1,,
330,TCGA-55-A490-01Z-00-DX1,,
331,TCGA-86-7714-01Z-00-DX1,,
332,TCGA-05-4430-01Z-00-DX1,,
333,TCGA-55-6985-01Z-00-DX1,,
334,TCGA-50-5066-01Z-00-DX1,,
335,TCGA-86-8056-01Z-00-DX1,,
336,TCGA-05-4403-01Z-00-DX1,,
337,TCGA-49-AAQV-01Z-00-DX1,,
338,TCGA-55-6968-01Z-00-DX1,,
339,TCGA-62-A46P-01Z-00-DX1,,
340,TCGA-44-A47G-01Z-00-DX1,,
341,TCGA-75-7031-01Z-00-DX1,,
342,TCGA-49-AARO-01Z-00-DX1,,
343,TCGA-55-8205-01Z-00-DX1,,
344,TCGA-93-A4JQ-01Z-00-DX1,,
345,TCGA-MP-A4TA-01Z-00-DX1,,
346,TCGA-44-7670-01Z-00-DX1,,
347,TCGA-MP-A4TF-01Z-00-DX1,,
348,TCGA-L9-A743-01Z-00-DX1,,
349,TCGA-62-A46V-01Z-00-DX1,,
350,TCGA-64-1678-01Z-00-DX1,,
351,TCGA-55-8203-01Z-00-DX1,,
352,TCGA-95-7567-01Z-00-DX1,,
353,TCGA-62-A472-01Z-00-DX1,,
354,TCGA-49-AAR3-01Z-00-DX1,,
355,TCGA-55-8619-01Z-00-DX1,,
356,TCGA-35-5375-01Z-00-DX1,,
357,TCGA-55-7994-01Z-00-DX1,,
358,TCGA-44-A47B-01Z-00-DX1,,
359,TCGA-97-A4LX-01Z-00-DX1,,
360,TCGA-97-7938-01Z-00-DX1,,
361,TCGA-55-7724-01Z-00-DX1,,
362,TCGA-95-8039-01Z-00-DX1,,
363,TCGA-NJ-A55A-01Z-00-DX1,,
364,TCGA-97-A4M7-01Z-00-DX2,,
365,TCGA-97-A4M7-01Z-00-DX1,,
366,TCGA-49-4501-01Z-00-DX3,,
367,TCGA-49-4501-01Z-00-DX1,,
368,TCGA-38-6178-01Z-00-DX1,,
369,TCGA-49-4494-01Z-00-DX7,,
370,TCGA-49-4494-01Z-00-DX6,,
371,TCGA-49-4494-01Z-00-DX1,,
372,TCGA-49-4494-01Z-00-DX4,,
373,TCGA-49-4494-01Z-00-DX3,,
374,TCGA-05-4402-01Z-00-DX1,,
375,TCGA-38-4628-01Z-00-DX1,,
376,TCGA-78-7147-01Z-00-DX1,,
377,TCGA-93-A4JP-01Z-00-DX1,,
378,TCGA-MP-A4SW-01Z-00-DX1,,
379,TCGA-69-7765-01Z-00-DX1,,
380,TCGA-86-8075-01Z-00-DX1,,
381,TCGA-55-8506-01Z-00-DX1,,
382,TCGA-38-4627-01Z-00-DX1,,
383,TCGA-97-8552-01Z-00-DX1,,
384,TCGA-78-7158-01Z-00-DX1,,
385,TCGA-71-8520-01Z-00-DX1,,
386,TCGA-69-7760-01Z-00-DX1,,
387,TCGA-55-6980-01Z-00-DX1,,
388,TCGA-86-8280-01Z-00-DX1,,
389,TCGA-05-4382-01Z-00-DX1,,
390,TCGA-44-6147-01Z-00-DX1,,
391,TCGA-75-6212-01Z-00-DX1,,
392,TCGA-55-7570-01Z-00-DX1,,
393,TCGA-49-4490-01Z-00-DX1,,
394,TCGA-49-4490-01Z-00-DX3,,
395,TCGA-49-4490-01Z-00-DX2,,
396,TCGA-49-4490-01Z-00-DX5,,
397,TCGA-49-4490-01Z-00-DX6,,
398,TCGA-50-6673-01Z-00-DX1,,
