,train,val,test
0,TCGA-B6-A0RI-01,TCGA-C8-A133-01,TCGA-AR-A2LH-01
1,TCGA-3C-AALK-01,TCGA-BH-A1EO-01,TCGA-AR-A1AW-01
2,TCGA-D8-A1JI-01,TCGA-BH-A0BD-01,TCGA-OL-A97C-01
3,TCGA-D8-A1JI-01,TCGA-A2-A0SY-01,TCGA-A8-A091-01
4,TCGA-AO-A0JJ-01,TCGA-E2-A1IL-01,TCGA-D8-A27G-01
5,TCGA-AN-A0FD-01,TCGA-D8-A145-01,TCGA-BH-A0HP-01
6,TCGA-D8-A1JT-01,TCGA-OK-A5Q2-01,TCGA-E9-A1N5-01
7,TCGA-D8-A1JT-01,TCGA-E9-A295-01,TCGA-A2-A0YL-01
8,TCGA-D8-A1XB-01,TCGA-E2-A1BC-01,TCGA-AR-A2LM-01
9,TCGA-A2-A0CS-01,TCGA-C8-A1HI-01,TCGA-5T-A9QA-01
10,TCGA-AQ-A0Y5-01,TCGA-C8-A12T-01,TCGA-D8-A73X-01
11,TCGA-C8-A275-01,TCGA-BH-A0EB-01,TCGA-A8-A07Z-01
12,TCGA-EW-A1PG-01,TCGA-LL-A6FQ-01,TCGA-BH-A0BV-01
13,TCGA-BH-A0HA-01,TCGA-AR-A1AL-01,TCGA-D8-A27W-01
14,TCGA-A7-A26H-01,TCGA-A7-A0D9-01,TCGA-BH-A0EA-01
15,TCGA-A8-A08H-01,TCGA-A2-A0YD-01,TCGA-AR-A0TQ-01
16,TCGA-E2-A15O-01,TCGA-E2-A153-01,TCGA-BH-A42V-01
17,TCGA-E2-A1IN-01,TCGA-AC-A3YI-01,TCGA-A8-A0AB-01
18,TCGA-D8-A1XC-01,TCGA-BH-A1EU-01,TCGA-A2-A0CU-01
19,TCGA-B6-A1KF-01,TCGA-D8-A1X7-01,TCGA-AC-A3QQ-01
20,TCGA-AO-A0JF-01,TCGA-B6-A0IC-01,TCGA-AR-A5QN-01
21,TCGA-BH-A18M-01,TCGA-AR-A24V-01,TCGA-E2-A10A-01
22,TCGA-AN-A0FN-01,TCGA-AR-A1AS-01,TCGA-OL-A6VQ-01
23,TCGA-BH-A0BM-01,TCGA-D8-A1XM-01,TCGA-E2-A1L6-01
